det1_rich_modular_eleside_0_0_lensHoldBox_groove21  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove21  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 4.2672*mm 4.2672*mm 4.2672*mm 4.4704*mm 4.4704*mm 4.2673*mm -8.5*mm 8.48811210884354*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove22  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove22  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 4.4704*mm 4.4704*mm 4.4704*mm 4.6736*mm 4.6736*mm 4.4705*mm -8.5*mm 8.48755918367347*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove23  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove23  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 4.6736*mm 4.6736*mm 4.6736*mm 4.8768*mm 4.8768*mm 4.6737*mm -8.5*mm 8.4870062585034*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove24  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove24  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 4.8768*mm 4.8768*mm 4.8768*mm 5.08*mm 5.08*mm 4.8769*mm -8.5*mm 8.48645333333333*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove25  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove25  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 5.08*mm 5.08*mm 5.08*mm 5.2832*mm 5.2832*mm 5.0801*mm -8.5*mm 8.48590040816327*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove26  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove26  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 5.2832*mm 5.2832*mm 5.2832*mm 5.4864*mm 5.4864*mm 5.2833*mm -8.5*mm 8.4853474829932*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove27  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove27  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 5.4864*mm 5.4864*mm 5.4864*mm 5.6896*mm 5.6896*mm 5.4865*mm -8.5*mm 8.48479455782313*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove28  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove28  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 5.6896*mm 5.6896*mm 5.6896*mm 5.8928*mm 5.8928*mm 5.6897*mm -8.5*mm 8.48424163265306*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove29  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove29  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 5.8928*mm 5.8928*mm 5.8928*mm 6.096*mm 6.096*mm 5.8929*mm -8.5*mm 8.48368870748299*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
det1_rich_modular_eleside_0_0_lensHoldBox_groove30  |det1_rich_modular_eleside_0_0_lensHoldBox  |det1_rich_modular_eleside_0_0_lensHoldBox_groove30  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 2eb7ed   |            Polycone  |0*deg 360*deg 3*counts 6.096*mm 6.096*mm 6.096*mm 6.2992*mm 6.2992*mm 6.0961*mm -8.5*mm 8.48313578231292*mm 8.5*mm  |             acrylic  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
